INSEE;NOM;NOM_COUV;COM/EPCI;POP;STRATE;X;Y;NOM2;CP
14149;Cesny-aux-Vignes;Cesny-aux-Vignes;COM;416;0;-13444;6289509.761;Cesny-aux-Vignes (14270);14270
14150;Cesny-les-Sources;Cesny-les-Sources;COM;1365;2;-41175;6269763.675;Cesny-les-Sources (14220);14220
14159;Chouain;Chouain;COM;229;0;-71336;6310599.493;Chouain (14250);14250
14160;Cintheaux;Cintheaux;COM;187;0;-31570;6286053.84;Cintheaux (14680);14680
14161;Clarbec;Clarbec;COM;331;0;15003;6315891.22;Clarbec (14130);14130
14162;Clécy;Clécy;COM;1305;2;-54976;6258435.452;Clécy (14570);14570
14163;Cléville;Cléville;COM;387;0;-10475;6299516.41;Cléville (14370);14370
14165;Colleville-sur-Mer;Colleville-sur-Mer;COM;184;0;-94459;6334490.581;Colleville-sur-Mer (14710);14710
14166;Colleville-Montgomery;Colleville-Montgomery;COM;2546;3;-33537;6321590.571;Colleville-Montgomery (14880);14880
14167;Colombelles;Colombelles;COM;7029;3;-32860;6308628.718;Colombelles (14460);14460
14168;Colombières;Colombières;COM;205;0;-109998;6326477.528;Colombières (14710);14710
14169;Colombiers-sur-Seulles;Colombiers-sur-Seulles;COM;157;0;-56310;6325848.121;Colombiers-sur-Seulles (14480);14480
14171;Combray;Combray;COM;144;0;-49569;6265743.861;Combray (14220);14220
14172;Commes;Commes;COM;445;0;-82283;6331907.86;Commes (14520);14520
14173;Condé-sur-Ifs;Condé-sur-Ifs;COM;434;0;-15572;6281078.035;Condé-sur-Ifs (14270);14270
14174;Condé-en-Normandie;Condé-en-Normandie;COM;6296;3;-65007;6254752.481;Condé-en-Normandie (14110);14110
14175;Condé-sur-Seulles;Condé-sur-Seulles;COM;298;0;-71299;6312557.651;Condé-sur-Seulles (14400);14400
14177;Coquainvilliers;Coquainvilliers;COM;844;1;21946;6309270.44;Coquainvilliers (14130);14130
14179;Cordebugle;Cordebugle;COM;164;0;42254;6294101.463;Cordebugle (14100);14100
14180;Cordey;Cordey;COM;155;0;-24804;6249815.479;Cordey (14700);14700
14181;Cormelles-le-Royal;Cormelles-le-Royal;COM;5093;3;-36465;6301137.223;Cormelles-le-Royal (14123);14123
14182;Cormolain;Cormolain;COM;397;0;-95983;6296831.12;Cormolain (14240);14240
14183;Cossesseville;Cossesseville;COM;107;0;-47298;6256998.602;Cossesseville (14690);14690
14184;Cottun;Cottun;COM;230;0;-87462;6320522.425;Cottun (14400);14400
14190;Courcy;Courcy;COM;127;0;-3798;6269704.812;Courcy (14170);14170
14191;Courseulles-sur-Mer;Courseulles-sur-Mer;COM;4185;3;-49980;6329446.314;Courseulles-sur-Mer (14470);14470
14193;Courtonne-la-Meurdrac;Courtonne-la-Meurdrac;COM;665;1;36673;6295252.197;Courtonne-la-Meurdrac (14100);14100
14194;Courtonne-les-Deux-Églises;Courtonne-les-Deux-Églises;COM;642;1;42086;6289912.989;Courtonne-les-Deux-Églises (14290);14290
14195;Courvaudon;Courvaudon;COM;270;0;-64011;6279393.394;Courvaudon (14260);14260
14196;Crépon;Crépon;COM;212;0;-60861;6328367.414;Crépon (14480);14480
14197;Cresserons;Cresserons;COM;1099;2;-39365;6323885.495;Cresserons (14440);14440
14198;Cresseveuille;Cresseveuille;COM;252;0;1312;6315544.922;Cresseveuille (14430);14430
14200;Creully sur Seulles;Creully sur Seulles;COM;2260;2;-62059;6322725.014;Creully sur Seulles (14480);14480
